run_id,source_csv,output_png,field,cohesion_0,frictional_angle,ks,log10_ks,noise_percent,noise_seed,particle_count,pixels_clipped_low,pixels_clipped_high,status
1,dabashenliu_run_001\particle_positions_150000.csv,noise_0pct\c3000_phi18.00_logk-2.300000.png,equivalent_plastic_strain,3000,18,0.0050118724,-2.29999999447783,0,12026,860,0,23670,generated
1,dabashenliu_run_001\particle_positions_150000.csv,noise_1pct\c3000_phi18.00_logk-2.300000.png,equivalent_plastic_strain,3000,18,0.0050118724,-2.29999999447783,1,12126,860,0,23670,generated
1,dabashenliu_run_001\particle_positions_150000.csv,noise_3pct\c3000_phi18.00_logk-2.300000.png,equivalent_plastic_strain,3000,18,0.0050118724,-2.29999999447783,3,12326,860,0,23670,generated
1,dabashenliu_run_001\particle_positions_150000.csv,noise_5pct\c3000_phi18.00_logk-2.300000.png,equivalent_plastic_strain,3000,18,0.0050118724,-2.29999999447783,5,12526,860,0,23670,generated
2,dabashenliu_run_002\particle_positions_150000.csv,noise_0pct\c3000_phi18.00_logk-2.077778.png,equivalent_plastic_strain,3000,18,0.0083603095,-2.07777764461193,0,22026,860,0,23586,generated
2,dabashenliu_run_002\particle_positions_150000.csv,noise_1pct\c3000_phi18.00_logk-2.077778.png,equivalent_plastic_strain,3000,18,0.0083603095,-2.07777764461193,1,22126,860,0,23586,generated
2,dabashenliu_run_002\particle_positions_150000.csv,noise_3pct\c3000_phi18.00_logk-2.077778.png,equivalent_plastic_strain,3000,18,0.0083603095,-2.07777764461193,3,22326,860,0,23586,generated
2,dabashenliu_run_002\particle_positions_150000.csv,noise_5pct\c3000_phi18.00_logk-2.077778.png,equivalent_plastic_strain,3000,18,0.0083603095,-2.07777764461193,5,22526,860,0,23586,generated
3,dabashenliu_run_003\particle_positions_150000.csv,noise_0pct\c3000_phi18.00_logk-1.855556.png,equivalent_plastic_strain,3000,18,0.013945831,-1.85555560201739,0,32026,860,0,23252,generated
3,dabashenliu_run_003\particle_positions_150000.csv,noise_1pct\c3000_phi18.00_logk-1.855556.png,equivalent_plastic_strain,3000,18,0.013945831,-1.85555560201739,1,32126,860,0,23252,generated
3,dabashenliu_run_003\particle_positions_150000.csv,noise_3pct\c3000_phi18.00_logk-1.855556.png,equivalent_plastic_strain,3000,18,0.013945831,-1.85555560201739,3,32326,860,0,23252,generated
3,dabashenliu_run_003\particle_positions_150000.csv,noise_5pct\c3000_phi18.00_logk-1.855556.png,equivalent_plastic_strain,3000,18,0.013945831,-1.85555560201739,5,32526,860,0,23252,generated
4,dabashenliu_run_004\particle_positions_150000.csv,noise_0pct\c3000_phi18.00_logk-1.633333.png,equivalent_plastic_strain,3000,18,0.023263052,-1.63333330853244,0,42026,860,0,23370,generated
4,dabashenliu_run_004\particle_positions_150000.csv,noise_1pct\c3000_phi18.00_logk-1.633333.png,equivalent_plastic_strain,3000,18,0.023263052,-1.63333330853244,1,42126,860,0,23370,generated
4,dabashenliu_run_004\particle_positions_150000.csv,noise_3pct\c3000_phi18.00_logk-1.633333.png,equivalent_plastic_strain,3000,18,0.023263052,-1.63333330853244,3,42326,860,0,23370,generated
4,dabashenliu_run_004\particle_positions_150000.csv,noise_5pct\c3000_phi18.00_logk-1.633333.png,equivalent_plastic_strain,3000,18,0.023263052,-1.63333330853244,5,42526,860,0,23370,generated
5,dabashenliu_run_005\particle_positions_150000.csv,noise_0pct\c3000_phi18.00_logk-1.411111.png,equivalent_plastic_strain,3000,18,0.038805105,-1.41111113709934,0,52026,860,0,24492,generated
5,dabashenliu_run_005\particle_positions_150000.csv,noise_1pct\c3000_phi18.00_logk-1.411111.png,equivalent_plastic_strain,3000,18,0.038805105,-1.41111113709934,1,52126,860,0,24492,generated
5,dabashenliu_run_005\particle_positions_150000.csv,noise_3pct\c3000_phi18.00_logk-1.411111.png,equivalent_plastic_strain,3000,18,0.038805105,-1.41111113709934,3,52326,860,0,24492,generated
5,dabashenliu_run_005\particle_positions_150000.csv,noise_5pct\c3000_phi18.00_logk-1.411111.png,equivalent_plastic_strain,3000,18,0.038805105,-1.41111113709934,5,52526,860,0,24492,generated
6,dabashenliu_run_006\particle_positions_150000.csv,noise_0pct\c3000_phi18.00_logk-1.188889.png,equivalent_plastic_strain,3000,18,0.06473083,-1.18888882427963,0,62026,860,0,26065,generated
6,dabashenliu_run_006\particle_positions_150000.csv,noise_1pct\c3000_phi18.00_logk-1.188889.png,equivalent_plastic_strain,3000,18,0.06473083,-1.18888882427963,1,62126,860,0,26065,generated
6,dabashenliu_run_006\particle_positions_150000.csv,noise_3pct\c3000_phi18.00_logk-1.188889.png,equivalent_plastic_strain,3000,18,0.06473083,-1.18888882427963,3,62326,860,0,26065,generated
6,dabashenliu_run_006\particle_positions_150000.csv,noise_5pct\c3000_phi18.00_logk-1.188889.png,equivalent_plastic_strain,3000,18,0.06473083,-1.18888882427963,5,62526,860,0,26065,generated
7,dabashenliu_run_007\particle_positions_150000.csv,noise_0pct\c3000_phi18.00_logk-0.966667.png,equivalent_plastic_strain,3000,18,0.10797753,-0.966666611293739,0,72026,860,0,36244,generated
7,dabashenliu_run_007\particle_positions_150000.csv,noise_1pct\c3000_phi18.00_logk-0.966667.png,equivalent_plastic_strain,3000,18,0.10797753,-0.966666611293739,1,72126,860,0,36244,generated
7,dabashenliu_run_007\particle_positions_150000.csv,noise_3pct\c3000_phi18.00_logk-0.966667.png,equivalent_plastic_strain,3000,18,0.10797753,-0.966666611293739,3,72326,860,0,36244,generated
7,dabashenliu_run_007\particle_positions_150000.csv,noise_5pct\c3000_phi18.00_logk-0.966667.png,equivalent_plastic_strain,3000,18,0.10797753,-0.966666611293739,5,72526,860,0,36244,generated
8,dabashenliu_run_008\particle_positions_150000.csv,noise_0pct\c3000_phi18.00_logk-0.744444.png,equivalent_plastic_strain,3000,18,0.18011737,-0.744444403052799,0,82026,860,0,53842,generated
8,dabashenliu_run_008\particle_positions_150000.csv,noise_1pct\c3000_phi18.00_logk-0.744444.png,equivalent_plastic_strain,3000,18,0.18011737,-0.744444403052799,1,82126,860,0,53842,generated
8,dabashenliu_run_008\particle_positions_150000.csv,noise_3pct\c3000_phi18.00_logk-0.744444.png,equivalent_plastic_strain,3000,18,0.18011737,-0.744444403052799,3,82326,860,0,53842,generated
8,dabashenliu_run_008\particle_positions_150000.csv,noise_5pct\c3000_phi18.00_logk-0.744444.png,equivalent_plastic_strain,3000,18,0.18011737,-0.744444403052799,5,82526,860,0,53842,generated
9,dabashenliu_run_009\particle_positions_150000.csv,noise_0pct\c3000_phi18.00_logk-0.522222.png,equivalent_plastic_strain,3000,18,0.30045387,-0.522222197678965,0,92026,860,0,73081,generated
9,dabashenliu_run_009\particle_positions_150000.csv,noise_1pct\c3000_phi18.00_logk-0.522222.png,equivalent_plastic_strain,3000,18,0.30045387,-0.522222197678965,1,92126,860,0,73081,generated
9,dabashenliu_run_009\particle_positions_150000.csv,noise_3pct\c3000_phi18.00_logk-0.522222.png,equivalent_plastic_strain,3000,18,0.30045387,-0.522222197678965,3,92326,860,0,73081,generated
9,dabashenliu_run_009\particle_positions_150000.csv,noise_5pct\c3000_phi18.00_logk-0.522222.png,equivalent_plastic_strain,3000,18,0.30045387,-0.522222197678965,5,92526,860,0,73081,generated
10,dabashenliu_run_010\particle_positions_150000.csv,noise_0pct\c3000_phi18.00_logk-0.300000.png,equivalent_plastic_strain,3000,18,0.50118726,-0.299999977147204,0,102026,860,0,84679,generated
10,dabashenliu_run_010\particle_positions_150000.csv,noise_1pct\c3000_phi18.00_logk-0.300000.png,equivalent_plastic_strain,3000,18,0.50118726,-0.299999977147204,1,102126,860,0,84679,generated
10,dabashenliu_run_010\particle_positions_150000.csv,noise_3pct\c3000_phi18.00_logk-0.300000.png,equivalent_plastic_strain,3000,18,0.50118726,-0.299999977147204,3,102326,860,0,84679,generated
10,dabashenliu_run_010\particle_positions_150000.csv,noise_5pct\c3000_phi18.00_logk-0.300000.png,equivalent_plastic_strain,3000,18,0.50118726,-0.299999977147204,5,102526,860,0,84679,generated
11,dabashenliu_run_011\particle_positions_150000.csv,noise_0pct\c3000_phi19.00_logk-2.300000.png,equivalent_plastic_strain,3000,19,0.0050118724,-2.29999999447783,0,112026,860,0,5670,generated
11,dabashenliu_run_011\particle_positions_150000.csv,noise_1pct\c3000_phi19.00_logk-2.300000.png,equivalent_plastic_strain,3000,19,0.0050118724,-2.29999999447783,1,112126,860,0,5670,generated
11,dabashenliu_run_011\particle_positions_150000.csv,noise_3pct\c3000_phi19.00_logk-2.300000.png,equivalent_plastic_strain,3000,19,0.0050118724,-2.29999999447783,3,112326,860,0,5670,generated
11,dabashenliu_run_011\particle_positions_150000.csv,noise_5pct\c3000_phi19.00_logk-2.300000.png,equivalent_plastic_strain,3000,19,0.0050118724,-2.29999999447783,5,112526,860,0,5670,generated
12,dabashenliu_run_012\particle_positions_150000.csv,noise_0pct\c3000_phi19.00_logk-2.077778.png,equivalent_plastic_strain,3000,19,0.0083603095,-2.07777764461193,0,122026,860,0,5661,generated
12,dabashenliu_run_012\particle_positions_150000.csv,noise_1pct\c3000_phi19.00_logk-2.077778.png,equivalent_plastic_strain,3000,19,0.0083603095,-2.07777764461193,1,122126,860,0,5661,generated
12,dabashenliu_run_012\particle_positions_150000.csv,noise_3pct\c3000_phi19.00_logk-2.077778.png,equivalent_plastic_strain,3000,19,0.0083603095,-2.07777764461193,3,122326,860,0,5661,generated
12,dabashenliu_run_012\particle_positions_150000.csv,noise_5pct\c3000_phi19.00_logk-2.077778.png,equivalent_plastic_strain,3000,19,0.0083603095,-2.07777764461193,5,122526,860,0,5661,generated
13,dabashenliu_run_013\particle_positions_150000.csv,noise_0pct\c3000_phi19.00_logk-1.855556.png,equivalent_plastic_strain,3000,19,0.013945831,-1.85555560201739,0,132026,860,0,5711,generated
13,dabashenliu_run_013\particle_positions_150000.csv,noise_1pct\c3000_phi19.00_logk-1.855556.png,equivalent_plastic_strain,3000,19,0.013945831,-1.85555560201739,1,132126,860,0,5711,generated
13,dabashenliu_run_013\particle_positions_150000.csv,noise_3pct\c3000_phi19.00_logk-1.855556.png,equivalent_plastic_strain,3000,19,0.013945831,-1.85555560201739,3,132326,860,0,5711,generated
13,dabashenliu_run_013\particle_positions_150000.csv,noise_5pct\c3000_phi19.00_logk-1.855556.png,equivalent_plastic_strain,3000,19,0.013945831,-1.85555560201739,5,132526,860,0,5711,generated
