run_id,source_csv,output_png,field,cohesion_0,frictional_angle,ks,log10_ks,noise_percent,noise_seed,particle_count,pixels_clipped_low,pixels_clipped_high,status
1,dabashenliu_run_001\particle_positions_150000.csv,noise_0pct\c3000_phi18.00_logk-2.300000.png,pressure,3000,18,0.0050118724,-2.29999999447783,0,12026,860,0,0,generated
2,dabashenliu_run_002\particle_positions_150000.csv,noise_0pct\c3000_phi18.00_logk-2.077778.png,pressure,3000,18,0.0083603095,-2.07777764461193,0,22026,860,0,0,generated
3,dabashenliu_run_003\particle_positions_150000.csv,noise_0pct\c3000_phi18.00_logk-1.855556.png,pressure,3000,18,0.013945831,-1.85555560201739,0,32026,860,0,0,generated
4,dabashenliu_run_004\particle_positions_150000.csv,noise_0pct\c3000_phi18.00_logk-1.633333.png,pressure,3000,18,0.023263052,-1.63333330853244,0,42026,860,0,0,generated
5,dabashenliu_run_005\particle_positions_150000.csv,noise_0pct\c3000_phi18.00_logk-1.411111.png,pressure,3000,18,0.038805105,-1.41111113709934,0,52026,860,0,0,generated
6,dabashenliu_run_006\particle_positions_150000.csv,noise_0pct\c3000_phi18.00_logk-1.188889.png,pressure,3000,18,0.06473083,-1.18888882427963,0,62026,860,0,0,generated
7,dabashenliu_run_007\particle_positions_150000.csv,noise_0pct\c3000_phi18.00_logk-0.966667.png,pressure,3000,18,0.10797753,-0.966666611293739,0,72026,860,0,0,generated
8,dabashenliu_run_008\particle_positions_150000.csv,noise_0pct\c3000_phi18.00_logk-0.744444.png,pressure,3000,18,0.18011737,-0.744444403052799,0,82026,860,0,126,generated
9,dabashenliu_run_009\particle_positions_150000.csv,noise_0pct\c3000_phi18.00_logk-0.522222.png,pressure,3000,18,0.30045387,-0.522222197678965,0,92026,860,0,201,generated
10,dabashenliu_run_010\particle_positions_150000.csv,noise_0pct\c3000_phi18.00_logk-0.300000.png,pressure,3000,18,0.50118726,-0.299999977147204,0,102026,860,0,198,generated
11,dabashenliu_run_011\particle_positions_150000.csv,noise_0pct\c3000_phi19.00_logk-2.300000.png,pressure,3000,19,0.0050118724,-2.29999999447783,0,112026,860,0,0,generated
